time,massin,tank_level,temperature,massout,accumA_level,accumB_level,accumA_massout,accumB_massout,valve_state,heater_state,pump_state,diverter_state,valve_mode,heater_mode,pump_mode,diverter_mode,ttTankMassHigh,ttTankMassLow,ttTankTempHigh,ttTankTempLow,ttAccumAMassHigh,ttAccumAMassLow,ttAccumBMassHigh,ttAccumBMassLow
0.3660209,0,38.6824209325399,120.60440768995,0,49.88561846875,49.805551396875,10,17,False,True,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,7.30062267267844,Infinity,Infinity,76.433979100001,Infinity,44.8104496882344
1.137065,0,38.6824209325399,122.071321820941,0,49.6446671875,49.39593421875,10,17,False,True,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,6.53452989351056,Infinity,Infinity,75.662934999986,Infinity,44.03940558824
1.451083,0,38.6824209325399,122.668511868462,0,49.5465365625,49.22911215625,10,17,False,True,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,6.22187412979803,Infinity,Infinity,75.3489169999686,Infinity,43.7253875882359
1.7621008,0,38.6824209325399,123.259876685111,0,49.4493435,49.06388395,10,17,False,True,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,5.91212216927884,Infinity,Infinity,75.0378992000165,Infinity,43.4143697882484
2.0901195,0,38.6824209325399,123.702936586682,0,49.34683765625,48.889624015625,10,17,False,False,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,Infinity,8.39579730362765,Infinity,74.7098804999858,Infinity,43.0863510882239
2.4031374,0,38.6824209325399,123.690442735819,0,49.2490195625,48.72333325625,10,17,False,False,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,Infinity,8.38179644976873,Infinity,74.3968626000259,Infinity,42.7733331882368
2.7131552,0,38.6824209325399,123.678071125754,0,49.152139,48.5586363,10,17,False,False,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,Infinity,8.36799707586641,Infinity,74.0868447999882,Infinity,42.4633153882286
3.0791761,0,38.6824209325399,123.663467780947,0,49.03775746875,48.364187696875,10,17,False,False,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,Infinity,8.35163784675397,Infinity,73.720823900018,Infinity,42.0972944882275
3.4041947,0,38.6824209325399,123.650503269694,0,48.93618915625,48.191521565625,10,17,False,False,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,Infinity,8.33714706079068,Infinity,73.3958053000278,Infinity,41.7722758882265
3.7132124,0,38.6824209325399,123.638179549205,0,48.839621125,48.0273559125,10,17,False,False,True,False,Close,Off,Off,Accumulator A,Infinity,Infinity,Infinity,8.32338325482226,Infinity,73.0867875999811,Infinity,41.4632581882361
